timestep,datetime,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale
125,30564.00,0,0,4.028053073,2.980703179,,4323.086945
126,30565.00,0,0,2.967787709,2.669657746,7.9,4938.327084
127,30566.00,0,0,2.408832402,2.963977039,,5364.258771
128,30567.00,23.38528584,7.260273973,4.64701676,0.399186056,,3968.413735
129,30568.00,9.18081137,7.260273973,5.549530726,1.645892506,,3764.853449
130,30569.00,23.88354611,7.260273973,7.908134078,0.612138996,,3004.076402
131,30570.00,2.064070055,7.260273973,7.219935754,0.937216566,,3274.241476
132,30571.00,0,0,4.546910615,1.31397069,,4114.947218
133,30572.00,8.98759144,7.260273973,4.137863128,0.410159109,7.6,4318.115098
134,30573.00,10.12882235,7.260273973,4.133136872,1.14587385,,4321.670143
135,30574.00,27.34331758,7.260273973,7.801391061,0.988572942,,3232.433448
136,30575.00,33.19374959,7.260273973,23.87368156,0.672041166,8.5,1560.024896
137,30576.00,26.48007671,7.260273973,14.24677374,1.168207383,,2398.462254
138,30577.00,18.58029183,7.260273973,25.8498352,2.179563485,,1217.527759
139,30578.00,28.54902862,7.260273973,26.45210615,1.248753637,11.5,1384.28454
140,30579.00,11.38880321,7.260273973,11.69323743,0.967913896,8.8,2555.074483
141,30580.00,17.26566615,3.287671233,15.25867039,0.516802205,,2113.486783
142,30581.00,0.49600682,3.287671233,9.361432961,1.405355587,,2881.946444
143,30582.00,0.32865642,3.287671233,6.201402235,1.232090316,,3566.61907
144,30583.00,0.1673504,3.287671233,4.58625419,2.275174917,,4109.513171
145,30584.00,0,0,3.71172067,2.136503589,,4510.578684
146,30585.00,0,0,3.200782123,1.37807668,,4801.306804
147,30586.00,0.49600682,3.287671233,2.809709497,2.696683815,8.2,5055.593319
148,30587.00,0,0,2.469645251,1.945868501,,5321.851441
149,30588.00,0.25,0.912402392,2.225061453,0.951949721,,5540.764982
150,30589.00,0.5,1.902197,2.000891061,0.34159422,,5764.752836
151,30590.00,6,6.984854774,1.91026257,0.621835771,,5879.454046
152,30591.00,6.5,1.511422447,1.922178771,1.442858656,,5866.65731
153,30592.00,13,3.301855867,2.778687151,0.637749075,7.7,4993.63424
154,30593.00,6,5.410958904,2.677198324,0.689195747,,5142.216615
155,30594.00,7.75,5.410958904,2.856041899,0.839733477,,5041.36104
156,30595.00,5.25,5.410958904,2.726773743,0.896597756,,5126.148507
157,30596.00,33.5,5.410958904,8.279849162,1.54847487,,2867.771204
158,30597.00,65.25,5.410958904,20.75709218,0.444043233,,1329.719026
159,30598.00,54.5,5.410958904,32.77704469,0.214150568,,1107.789199
160,30599.00,23.75,5.410958904,19.06622346,1.023020008,,1628.60282
161,30600.00,15.5,5.410958904,8.977902235,0.697308504,8.1,2952.389567
162,30601.00,12.5,25.75342466,7.070958101,0.499064577,,3335.493738
163,30602.00,15.75,25.75342466,5.221407821,0.457869342,,3900.677632
164,30603.00,5.25,25.75342466,4.634572626,0.67231168,,4059.430537
165,30604.00,39.5,25.75342466,12.25923184,0.335868579,,2343.120942
166,30605.00,13.5,25.75342466,9.580826816,0.99907992,,2768.1959
167,30606.00,37.5,25.75342466,9.305522346,0.670955851,,2880.562466
168,30607.00,10.5,25.75342466,9.527078212,0.293938151,10.1,2637.960516
169,30608.00,0,0,5.049201117,1.262799521,,3937.358154
170,30609.00,0,0,4.866863128,0.76065786,,4024.913513
171,30610.00,0,0,4.70252514,1.614229702,,4079.800663
172,30611.00,0,0,4.083284916,1.533591153,,4331.602773
173,30612.00,0,0,3.430357542,1.856928399,,4662.317201
174,30613.00,0,0,2.972212291,1.148186433,,4944.925934
175,30614.00,0.12006417,16.98630137,2.628829609,0.713301603,7.9,5193.83208
176,30615.00,0,0,2.34972905,0.962749483,,5426.004229
177,30616.00,3.29627742,11.50684932,2.177069832,0.325196907,,5591.759521
178,30617.00,2.68037234,11.50684932,2.022486034,0.514160773,,5742.055297
179,30618.00,0,0,1.815687151,0.878716767,,5979.315875
180,30619.00,8.168973285,11.50684932,1.986058659,0.36323394,,5784.932942
181,30620.00,0.72817714,11.50684932,1.794594972,0.594371532,,5996.801047
182,30621.00,17.44553348,11.50684932,3.370751397,0.237003356,8.7,4621.868803
